DATE,ROMA_cloud_cover,ROMA_humidity,ROMA_pressure,ROMA_global_radiation,ROMA_sunshine,ROMA_temp_min,ROMA_temp_max,ROMA_temp_mean
20010131,3,0.85,1.0066,0.95,4.6,4.0,11.4,7.7
20010201,6,0.82,1.0082,0.61,3.4,3.6,8.6,6.1
20010202,2,0.48,1.0144,1.27,9.0,0.6,7.6,4.1
20010203,4,0.8,1.0183,0.43,1.5,-2.4,10.2,3.9
20010204,6,0.95,1.0183,0.3,0.2,6.0,12.6,9.3
20010205,5,0.92,1.0184,0.44,1.0,4.2,14.2,9.2
20010206,4,0.86,1.0236,1.23,8.8,7.2,16.2,11.7
20010207,3,0.9,1.0236,1.28,8.4,4.8,16.4,10.6
20010208,2,0.71,1.0155,1.3,8.0,6.0,16.2,11.1
20010209,5,0.96,1.0145,0.67,3.3,9.6,15.0,12.3
20010210,4,0.85,1.0194,1.22,8.2,7.4,15.6,11.5
20010211,3,0.74,1.0292,0.83,3.5,6.8,14.8,10.8
20010212,1,0.72,1.0296,1.36,9.4,3.6,16.4,10.0
20010213,4,0.81,1.0207,1.02,4.0,3.8,14.2,9.0
20010214,5,0.85,1.0204,1.06,5.7,5.2,15.2,10.2
20010215,2,0.86,1.0262,1.26,8.4,3.8,14.8,9.3
20010216,4,0.84,1.0299,1.22,8.6,4.0,14.0,9.0
20010217,6,0.9,1.0259,0.41,0.5,4.2,12.0,8.1
20010218,3,0.86,1.0239,1.36,8.2,3.8,14.6,9.2
20010219,1,0.79,1.0251,1.4,5.5,3.0,15.4,9.2
20010220,4,0.88,1.0213,0.97,6.0,1.4,13.4,7.4
20010221,1,0.65,1.0196,1.6,9.9,2.4,13.8,8.1
20010222,5,0.87,1.0128,1.09,5.6,2.0,13.6,7.8
20010223,7,0.91,1.0028,0.29,0.0,10.2,13.0,11.6
20010224,8,0.89,0.9988,0.47,0.3,10.2,13.6,11.9
20010225,7,0.92,1.0004,0.26,0.0,7.0,11.4,9.2
20010226,6,0.81,1.0006,0.45,1.4,0.4,9.2,4.8
20010227,2,0.71,1.0077,1.68,9.4,-1.8,9.8,4.0
20010228,7,0.88,0.9993,0.31,0.0,2.8,10.2,6.5
20010301,5,0.88,1.0041,1.27,5.8,2.6,11.2,6.9
20010302,7,0.94,1.0067,0.29,0.0,5.4,15.2,10.3
20010303,7,0.76,1.0028,1.34,3.1,14.6,19.2,16.9
20010304,5,0.93,1.0088,1.36,5.6,12.0,18.2,15.1
20010305,7,0.89,1.013,0.93,1.4,13.4,19.8,16.6
20010306,5,0.85,1.0175,1.25,3.2,9.6,18.4,14.0
20010307,6,0.94,1.0182,0.66,0.2,8.8,16.0,12.4
20010308,7,0.94,1.0143,0.6,0.0,7.8,16.4,12.1
20010309,5,0.89,1.0124,1.29,4.7,11.0,17.2,14.1
20010310,5,0.9,1.0148,1.46,5.9,8.6,16.2,12.4
20010311,5,0.87,1.0168,1.7,7.5,10.0,17.4,13.7
20010312,6,0.92,1.0176,1.48,4.5,10.2,17.6,13.9
20010313,5,0.87,1.0086,0.97,5.1,8.6,15.4,12.0
20010314,2,0.79,1.0117,2.11,10.1,5.2,17.2,11.2
20010315,2,0.88,1.0163,1.91,8.9,5.2,16.6,10.9
20010316,6,0.84,1.0171,1.72,6.5,9.4,17.6,13.5
20010317,6,0.76,1.0088,1.13,3.2,11.0,19.0,15.0
20010318,5,0.89,1.0104,1.76,5.3,9.0,17.0,13.0
20010319,4,0.88,1.0139,1.9,9.1,7.0,16.4,11.7
20010320,6,0.85,1.0156,1.35,3.4,10.2,17.0,13.6
20010321,5,0.89,1.0126,1.49,3.4,9.8,18.8,14.3
20010322,5,0.82,1.0079,1.97,8.8,11.4,20.6,16.0
20010323,4,0.85,1.0126,1.68,4.4,10.2,21.4,15.8
20010324,0,0.7,1.01,2.14,9.7,8.4,24.4,16.4
20010325,6,0.48,1.0026,0.66,0.0,15.0,21.6,18.3
20010326,6,0.83,1.0065,1.32,2.2,11.4,16.8,14.1
20010327,6,0.9,1.0092,1.79,7.2,9.2,16.6,12.9
20010328,5,0.86,1.0143,1.93,8.3,8.6,18.0,13.3
20010329,5,0.88,1.0107,1.81,6.5,8.2,17.2,12.7
20010330,6,0.93,1.0021,1.0,2.2,6.0,13.2,9.6
20010331,3,0.76,1.0097,1.95,7.8,5.0,19.0,12.0
20010401,1,0.7,1.0168,2.42,10.7,6.8,20.0,13.4
20010402,0,0.6,1.0213,2.39,11.0,4.8,18.6,11.7
20010403,1,0.79,1.0212,2.35,10.9,5.6,17.8,11.7
20010404,4,0.82,1.0196,2.28,10.4,7.2,17.6,12.4
20010405,5,0.79,1.0137,1.33,5.1,3.6,17.4,10.5
20010406,4,0.7,1.0151,2.41,11.4,5.0,19.0,12.0
20010407,5,0.85,1.0103,1.64,3.4,8.0,18.4,13.2
20010408,5,0.85,1.0061,1.98,9.2,7.6,16.2,11.9
20010409,2,0.69,1.0128,2.48,11.2,5.8,19.6,12.7
20010410,3,0.75,1.012,2.41,9.7,6.8,19.4,13.1
20010411,6,0.91,1.0046,1.64,5.8,10.0,15.8,12.9
20010412,4,0.85,1.0079,1.24,5.6,8.2,16.4,12.3
20010413,3,0.75,1.0105,2.32,9.1,7.8,20.0,13.9
20010414,5,0.92,1.0103,0.21,0.0,3.8,11.2,7.5
20010415,3,0.62,1.017,2.67,10.7,1.6,13.0,7.3
20010416,8,0.94,1.0128,0.59,0.0,8.0,14.8,11.4
20010417,5,0.86,1.0087,1.81,6.0,8.0,16.4,12.2
20010418,3,0.81,1.0105,2.48,10.5,4.6,16.6,10.6
20010419,5,0.89,1.0084,2.14,9.1,10.6,16.6,13.6
20010420,7,0.95,1.0033,0.6,0.0,9.8,14.0,11.9
20010421,5,0.75,1.0001,2.02,6.6,7.8,13.8,10.8
20010422,3,0.75,0.999,2.37,8.4,5.0,13.4,9.2
20010423,5,0.85,1.0059,1.58,5.4,3.6,15.2,9.4
20010424,2,0.85,1.0155,2.67,11.0,5.6,19.2,12.4
20010425,4,0.81,1.0203,2.59,9.8,9.0,22.0,15.5
20010426,3,0.74,1.0175,2.36,8.5,10.4,21.6,16.0
20010427,5,0.92,1.0168,2.21,7.9,9.8,20.0,14.9
20010428,5,0.85,1.0148,1.93,8.9,12.2,20.0,16.1
20010429,2,0.8,1.0131,2.72,11.9,9.8,23.4,16.6
20010430,2,0.82,1.0122,2.74,11.4,10.8,23.6,17.2
20010501,3,0.72,1.0161,2.65,11.8,10.6,25.2,17.9
20010502,4,0.71,1.0139,2.5,9.8,12.6,26.8,19.7
20010503,6,0.8,1.0079,1.81,4.0,14.8,25.4,20.1
20010504,5,0.9,1.0041,2.11,6.5,12.6,23.0,17.8
20010505,6,0.95,1.0011,0.91,0.5,13.2,19.4,16.3
20010506,6,0.94,1.0061,1.49,2.2,12.6,17.8,15.2
20010507,8,0.98,1.0109,0.61,0.0,12.4,15.2,13.8
20010508,4,0.93,1.0151,2.63,10.6,11.0,21.6,16.3
20010509,2,0.92,1.0164,2.72,11.5,10.6,22.2,16.4
20010510,4,0.92,1.0135,2.12,6.0,12.8,22.8,17.8
20010511,4,0.78,1.0106,2.48,8.2,12.0,23.2,17.6
20010512,2,0.61,1.0109,2.77,12.0,10.6,24.6,17.6
20010513,1,0.59,1.0127,2.99,12.5,10.2,24.2,17.2
20010514,3,0.84,1.0149,2.88,11.6,11.8,22.8,17.3
20010515,5,0.77,1.0166,1.79,4.4,13.0,21.0,17.0
20010516,3,0.9,1.0187,2.51,8.2,11.8,23.2,17.5
20010517,6,0.68,1.0152,1.76,2.5,14.0,27.2,20.6
20010518,6,0.83,1.0112,1.52,4.8,15.8,26.0,20.9
20010519,5,0.79,1.0109,1.55,3.8,17.6,27.2,22.4
20010520,6,0.8,1.0144,0.58,0.0,16.0,23.4,19.7
20010521,6,0.8,1.0138,1.34,3.5,17.0,25.6,21.3
20010522,2,0.78,1.0102,2.44,9.5,14.8,26.6,20.7
20010523,5,0.89,1.0161,1.71,3.5,16.4,24.2,20.3
20010524,6,0.93,1.0171,0.94,0.8,15.0,23.2,19.1
20010525,6,0.91,1.0127,1.86,6.0,14.8,23.8,19.3
20010526,3,0.76,1.0139,2.71,10.8,12.8,26.4,19.6
20010527,2,0.64,1.0207,3.03,12.6,12.8,27.4,20.1
20010528,2,0.65,1.0227,2.87,12.0,14.0,28.2,21.1
20010529,3,0.64,1.0206,2.94,12.0,15.6,29.2,22.4
20010530,0,0.7,1.0175,3.1,12.2,16.0,29.0,22.5
20010531,1,0.58,1.015,3.15,12.2,15.2,27.4,21.3
20010601,4,0.79,1.0101,2.9,11.0,16.2,27.0,21.6
20010602,4,0.8,1.0115,2.85,10.9,15.4,25.6,20.5
20010603,4,0.8,1.0089,2.57,11.4,16.2,22.8,19.5
20010604,1,0.53,1.0186,3.24,12.2,13.0,24.0,18.5
20010605,1,0.63,1.0218,3.18,11.9,11.0,25.2,18.1
20010606,3,0.6,1.0165,2.98,11.9,11.8,25.0,18.4
20010607,1,0.68,1.0141,3.15,12.8,14.0,27.4,20.7
20010608,2,0.71,1.0161,3.14,12.0,14.4,26.4,20.4
20010609,1,0.51,1.0152,3.2,13.0,13.0,27.4,20.2
20010610,5,0.31,1.0123,2.07,7.2,21.6,29.2,25.4
20010611,6,0.68,1.0147,1.17,1.2,15.8,25.4,20.6
20010612,5,0.65,1.0158,2.21,6.9,14.8,28.6,21.7
20010613,4,0.77,1.0126,2.11,6.5,15.6,28.0,21.8
20010614,2,0.67,1.0129,3.04,12.5,15.6,26.6,21.1
20010615,0,0.61,1.0161,3.0,12.2,15.0,28.0,21.5
20010616,1,0.5,1.0137,3.03,12.0,14.6,29.8,22.2
20010617,2,0.69,1.0118,3.01,11.8,17.6,26.0,21.8
20010618,4,0.72,1.0111,2.08,5.7,15.0,25.0,20.0
20010619,4,0.61,1.0134,2.32,8.0,14.0,27.0,20.5
20010620,3,0.6,1.014,3.1,12.3,13.0,27.0,20.0
20010621,2,0.55,1.0137,3.16,11.9,13.8,28.0,20.9
20010622,1,0.58,1.0143,3.24,12.7,14.6,27.6,21.1
20010623,1,0.69,1.0138,3.14,12.8,15.8,27.8,21.8
20010624,0,0.56,1.0166,3.08,12.3,15.8,29.8,22.8
20010625,1,0.61,1.018,3.04,12.0,18.0,31.4,24.7
20010626,0,0.59,1.0178,3.0,12.5,18.8,32.0,25.4
20010627,0,0.5,1.0154,2.99,12.6,18.0,32.2,25.1
20010628,5,0.59,1.014,1.12,2.1,18.6,30.2,24.4
20010629,4,0.73,1.0159,1.86,6.5,18.8,29.2,24.0
20010630,0,0.67,1.0175,3.03,12.0,16.6,31.4,24.0
20010701,3,0.69,1.0165,2.42,8.7,19.0,30.8,24.9
20010702,2,0.54,1.017,2.73,12.5,19.0,31.0,25.0
20010703,1,0.51,1.0155,3.06,12.0,16.8,29.6,23.2
20010704,3,0.53,1.0136,2.93,11.3,16.8,29.8,23.3
20010705,2,0.52,1.0145,2.88,11.5,17.6,31.2,24.4
20010706,4,0.5,1.0151,2.06,7.4,18.6,32.6,25.6
20010707,4,0.68,1.0137,2.57,9.2,21.2,30.4,25.8
20010708,2,0.74,1.0151,2.93,11.1,19.4,29.6,24.5
20010709,2,0.7,1.0158,2.87,11.0,18.0,30.8,24.4
20010710,5,0.8,1.0161,0.64,0.8,19.2,27.4,23.3
20010711,0,0.72,1.0147,2.95,12.0,17.6,30.4,24.0
20010712,1,0.78,1.0131,2.99,11.5,20.0,31.2,25.6
20010713,1,0.73,1.0127,3.0,12.5,19.2,30.4,24.8
20010714,1,0.68,1.0126,2.87,11.7,19.0,32.2,25.6
20010715,1,0.61,1.0121,2.97,12.1,19.6,32.6,26.1
20010716,4,0.61,1.0121,2.63,9.0,21.4,34.0,27.7
20010717,3,0.59,1.0108,2.92,12.1,19.8,27.8,23.8
20010718,1,0.69,1.0112,2.83,12.6,16.8,28.8,22.8
20010719,1,0.63,1.0073,3.02,12.3,20.8,31.2,26.0
20010720,5,0.8,1.0096,2.01,9.4,18.0,25.4,21.7
20010721,1,0.64,1.0155,2.9,12.4,15.2,28.8,22.0
20010722,1,0.63,1.0161,2.95,12.4,16.4,30.2,23.3
20010723,1,0.61,1.0132,2.91,12.5,17.2,31.0,24.1
20010724,1,0.61,1.012,2.86,12.2,17.2,30.2,23.7
20010725,1,0.58,1.0118,2.91,12.2,16.2,31.6,23.9
20010726,1,0.53,1.0128,2.72,12.4,18.0,33.4,25.7
20010727,1,0.55,1.0144,2.76,12.0,20.0,34.0,27.0
20010728,1,0.58,1.0158,2.76,11.7,19.8,34.2,27.0
20010729,1,0.61,1.0165,2.74,12.0,19.8,33.8,26.8
20010730,1,0.66,1.0167,2.62,10.7,20.4,34.4,27.4
20010731,0,0.56,1.0173,2.83,12.0,20.4,33.6,27.0
20010801,0,0.53,1.0162,2.8,12.3,21.4,34.0,27.7
20010802,0,0.47,1.0154,2.76,12.2,21.2,35.0,28.1
20010803,0,0.47,1.0151,2.56,11.3,22.0,36.2,29.1
20010804,1,0.56,1.0161,2.6,10.8,21.6,34.8,28.2
20010805,0,0.73,1.0159,2.78,12.0,21.0,31.6,26.3
20010806,1,0.68,1.0148,2.69,12.0,19.0,31.4,25.2
20010807,1,0.7,1.014,2.6,12.0,18.8,31.6,25.2
20010808,1,0.72,1.0152,2.73,12.0,20.0,32.0,26.0
20010809,1,0.68,1.0164,2.66,12.0,19.6,32.6,26.1
20010810,0,0.57,1.0154,2.72,12.0,18.6,34.2,26.4
20010811,4,0.67,1.0142,2.27,10.0,21.0,32.4,26.7
20010812,1,0.44,1.0151,2.78,11.7,18.0,31.0,24.5
20010813,1,0.47,1.0144,2.71,12.3,16.8,30.4,23.6
20010814,0,0.66,1.0157,2.65,12.0,17.2,30.6,23.9
20010815,0,0.55,1.0185,2.61,11.9,18.4,32.2,25.3
20010816,1,0.62,1.0174,2.58,11.7,18.8,33.0,25.9
20010817,2,0.66,1.0152,2.49,11.4,19.4,33.4,26.4
20010818,5,0.64,1.0137,1.95,7.4,20.4,31.8,26.1
20010819,2,0.66,1.0132,2.5,12.0,19.8,32.0,25.9
20010820,3,0.71,1.0126,2.24,9.4,19.8,32.2,26.0
20010821,2,0.77,1.0127,2.51,10.3,20.2,31.6,25.9
20010822,2,0.8,1.0139,1.98,9.2,19.4,31.2,25.3
20010823,2,0.72,1.014,2.47,11.8,18.2,30.8,24.5
20010824,1,0.71,1.0141,2.37,10.8,19.8,32.8,26.3
20010825,2,0.76,1.0156,2.15,9.5,20.4,31.8,26.1
20010826,1,0.79,1.0168,2.35,10.6,21.0,31.6,26.3
20010827,1,0.79,1.0145,2.29,10.5,20.8,32.0,26.4
20010828,1,0.75,1.0122,2.28,10.5,20.2,32.8,26.5
20010829,1,0.81,1.0109,2.34,11.2,19.6,31.0,25.3
20010830,2,0.79,1.0083,2.1,10.0,19.4,31.2,25.3
20010831,4,0.84,1.0094,2.01,8.8,21.8,28.0,24.9
20010901,5,0.73,1.0109,1.75,7.3,17.8,27.0,22.4
20010902,2,0.75,1.0119,1.97,9.5,16.4,26.8,21.6
20010903,1,0.73,1.0156,1.98,10.5,16.0,28.0,22.0
20010904,3,0.66,1.0143,2.05,9.4,15.0,27.2,21.1
20010905,4,0.68,1.006,1.73,8.4,15.0,27.2,21.1
20010906,1,0.69,1.0103,2.27,11.0,13.0,27.0,20.0
20010907,2,0.73,1.0114,2.28,11.0,13.8,27.8,20.8
20010908,2,0.73,1.0127,2.08,10.6,14.4,27.4,20.9
20010909,5,0.87,1.0071,1.49,6.5,19.6,25.2,22.4
20010910,4,0.77,1.0056,1.86,9.4,12.8,25.0,18.9
20010911,1,0.59,1.0131,2.25,11.0,9.6,24.4,17.0
20010912,2,0.67,1.0162,1.78,8.7,11.6,24.4,18.0
20010913,1,0.75,1.0181,2.16,10.6,13.0,25.0,19.0
20010914,6,0.84,1.0112,1.3,4.5,14.4,25.2,19.8
20010915,4,0.71,1.0095,2.14,10.2,15.4,23.8,19.6
20010916,5,0.88,1.0101,1.15,2.2,13.6,22.6,18.1
20010917,5,0.73,1.0054,0.86,3.1,12.4,21.4,16.9
20010918,3,0.69,1.012,1.34,6.2,9.6,21.8,15.7
20010919,1,0.62,1.0185,2.09,10.6,10.0,24.0,17.0
20010920,6,0.67,1.0195,0.64,0.9,10.8,22.0,16.4
20010921,1,0.73,1.0161,1.96,10.0,10.8,26.2,18.5
20010922,2,0.7,1.0132,1.86,9.5,11.8,28.4,20.1
20010923,6,0.93,1.0084,0.85,1.2,16.8,25.0,20.9
20010924,6,0.91,1.0114,1.16,4.8,20.4,25.8,23.1
20010925,3,0.85,1.0151,1.77,10.0,16.2,24.6,20.4
20010926,3,0.8,1.0166,1.68,9.5,15.4,24.2,19.8
20010927,2,0.75,1.0188,1.88,10.5,12.2,25.0,18.6
20010928,2,0.78,1.0189,1.81,10.3,12.0,25.2,18.6
20010929,4,0.78,1.0183,1.62,7.5,12.4,26.2,19.3
20010930,6,0.84,1.0168,0.77,1.3,17.0,25.0,21.0
20011001,4,0.89,1.02,1.35,6.4,17.2,26.4,21.8
20011002,2,0.83,1.0227,1.61,10.0,15.0,27.0,21.0
20011003,1,0.82,1.0206,1.68,10.0,13.8,26.6,20.2
20011004,2,0.87,1.0169,1.54,9.2,13.8,26.0,19.9
20011005,5,0.87,1.016,1.29,6.0,17.4,27.4,22.4
20011006,5,0.89,1.0153,1.15,4.2,19.0,27.4,23.2
20011007,3,0.87,1.0147,1.45,8.0,16.8,28.2,22.5
20011008,4,0.9,1.0162,1.11,6.8,17.8,26.0,21.9
20011009,3,0.86,1.0174,1.32,8.0,15.8,26.4,21.1
20011010,4,0.81,1.0226,0.97,4.2,17.0,26.6,21.8
20011011,1,0.81,1.026,1.55,9.5,15.8,27.4,21.6
20011012,2,0.71,1.0244,1.53,10.0,15.4,27.0,21.2
20011013,0,0.69,1.0219,1.53,9.9,12.8,28.0,20.4
20011014,0,0.74,1.0191,1.52,9.7,12.8,27.0,19.9
20011015,1,0.77,1.0184,1.46,9.4,12.2,25.6,18.9
20011016,2,0.81,1.0214,1.25,7.1,12.6,25.2,18.9
20011017,4,0.84,1.0216,1.09,5.7,14.2,24.4,19.3
20011018,2,0.85,1.019,1.12,7.0,13.2,25.0,19.1
20011019,1,0.83,1.0181,1.28,8.4,13.2,25.2,19.2
20011020,2,0.78,1.0172,1.25,7.0,13.0,25.6,19.3
20011021,5,0.73,1.0127,0.94,4.5,18.0,25.0,21.5
20011022,3,0.83,1.0166,1.39,9.0,15.0,24.4,19.7
20011023,2,0.83,1.0192,1.15,8.4,12.4,23.4,17.9
20011024,5,0.85,1.0197,1.17,8.5,15.6,23.8,19.7
20011025,0,0.73,1.021,1.35,9.4,12.6,22.8,17.7
20011026,1,0.71,1.0221,1.36,9.5,10.4,22.0,16.2
20011027,1,0.81,1.0246,1.16,9.4,9.2,22.4,15.8
20011028,2,0.8,1.027,1.24,7.4,10.0,22.6,16.3
20011029,3,0.83,1.0263,1.1,8.8,10.8,23.0,16.9
20011030,3,0.85,1.0265,1.13,7.9,11.2,22.8,17.0
20011031,3,0.88,1.0267,0.91,5.1,11.4,22.4,16.9
20011101,6,0.88,1.0208,0.69,3.0,14.4,23.0,18.7
20011102,2,0.6,1.0238,1.22,8.5,13.0,22.4,17.7
20011103,1,0.48,1.0239,1.22,8.9,10.0,20.0,15.0
20011104,1,0.65,1.0203,1.17,9.0,6.8,18.4,12.6
20011105,2,0.74,1.0174,1.13,8.7,6.0,19.4,12.7
20011106,6,0.92,1.0171,0.23,0.6,10.6,17.6,14.1
20011107,5,0.92,1.0153,0.54,2.5,8.8,18.4,13.6
20011108,4,0.89,1.0077,0.81,4.7,10.0,19.8,14.9
20011109,6,0.81,1.0012,0.6,2.8,12.2,18.6,15.4
20011110,7,0.88,1.0089,0.26,1.2,10.2,20.0,15.1
20011111,6,0.67,1.0107,0.21,0.0,16.0,24.0,20.0
20011112,5,0.86,1.0098,0.61,3.0,13.0,19.8,16.4
20011113,7,0.91,0.9966,0.3,0.0,8.4,14.0,11.2
20011114,4,0.88,1.0061,0.78,5.7,5.4,16.8,11.1
20011115,5,0.77,1.0217,0.28,1.4,11.8,15.6,13.7
20011116,2,0.84,1.0296,0.95,8.0,8.8,18.4,13.6
20011117,1,0.88,1.0285,0.95,8.3,6.6,19.4,13.0
20011118,5,0.91,1.0204,0.34,1.1,7.2,18.4,12.8
20011119,5,0.89,1.0129,0.7,3.7,9.0,16.6,12.8
20011120,2,0.81,1.0164,0.92,7.4,7.2,16.4,11.8
20011121,2,0.85,1.0279,0.86,7.8,5.2,16.4,10.8
20011122,4,0.93,1.0246,0.46,2.8,5.6,16.2,10.9
20011123,3,0.76,1.0082,0.8,6.0,5.4,16.2,10.8
20011124,1,0.61,1.0173,0.98,8.4,3.0,11.6,7.3
20011125,3,0.82,1.0169,0.7,5.5,2.0,13.0,7.5
20011126,6,0.87,1.0136,0.64,4.1,7.2,15.0,11.1
20011127,7,0.92,1.0133,0.37,1.0,9.8,15.8,12.8
20011128,5,0.91,1.0133,0.7,4.5,9.0,16.0,12.5
20011129,1,0.81,1.0164,0.88,8.3,5.2,14.8,10.0
20011130,3,0.74,1.0154,0.84,7.6,4.8,14.4,9.6
20011201,1,0.78,1.0169,0.89,8.5,3.8,14.4,9.1
20011202,1,0.86,1.0211,0.8,7.6,3.4,13.2,8.3
20011203,0,0.86,1.0227,0.82,8.2,2.2,12.4,7.3
20011204,4,0.88,1.023,0.42,3.2,1.8,10.4,6.1
20011205,3,0.89,1.0207,0.64,5.6,5.2,14.8,10.0
20011206,2,0.9,1.0183,0.71,6.7,4.8,15.0,9.9
20011207,1,0.65,1.0187,0.84,8.0,6.4,15.0,10.7
20011208,0,0.65,1.0233,0.81,8.0,3.6,12.2,7.9
20011209,1,0.68,1.0259,0.62,6.2,1.4,11.4,6.4
20011210,1,0.7,1.0288,0.79,7.8,0.6,10.8,5.7
20011211,1,0.77,1.0242,0.79,8.1,0.0,9.8,4.9
20011212,2,0.76,1.0165,0.61,6.8,0.2,10.6,5.4
20011213,2,0.7,1.0126,0.8,8.0,0.8,9.2,5.0
20011214,6,0.59,1.0146,0.06,0.0,5.0,7.4,6.2
20011215,6,0.87,1.0178,0.06,0.0,5.0,7.6,6.3
20011216,5,0.71,1.012,0.37,1.0,3.0,7.6,5.3
20011217,0,0.47,1.0205,0.82,8.0,-0.8,5.6,2.4
20011218,1,0.64,1.0257,0.82,8.0,-1.8,7.4,2.8
20011219,1,0.74,1.0289,0.76,8.0,-2.2,8.6,3.2
20011220,6,0.82,1.023,0.55,4.0,0.0,10.8,5.4
20011221,6,0.9,1.0176,0.48,3.5,2.4,10.0,6.2
20011222,6,0.81,1.0118,0.16,1.0,7.0,10.2,8.6
20011223,7,0.87,1.0075,0.29,0.4,7.0,10.6,8.8
20011224,7,0.82,1.0077,0.26,0.0,0.6,8.0,4.3
20011225,1,0.62,1.013,0.85,8.2,-2.4,5.0,1.3
20011226,7,0.85,1.0062,0.33,2.0,4.0,10.0,7.0
20011227,4,0.8,1.0046,0.52,3.4,2.6,6.4,4.5
20011228,0,0.6,1.0169,0.83,8.0,-2.6,9.2,3.3
20011229,6,0.86,1.0149,0.17,0.3,1.8,12.0,6.9
20011230,7,0.91,1.0079,0.23,1.6,10.4,14.0,12.2
20011231,6,0.87,1.0103,0.1,0.0,4.0,13.2,8.6
20020101,0,0.33,1.029,0.89,7.4,-0.2,7.4,3.6
20020102,2,0.63,1.0341,0.8,8.2,-3.2,7.2,2.0
20020103,1,0.62,1.0248,0.8,8.0,-1.0,8.4,3.7
20020104,0,0.52,1.0304,0.85,8.3,-2.8,5.8,1.5
20020105,0,0.67,1.0316,0.84,8.2,-4.0,7.6,1.8
20020106,0,0.71,1.0292,0.82,7.9,-3.0,10.0,3.5
20020107,2,0.81,1.0262,0.78,6.3,-2.2,12.4,5.1
20020108,2,0.84,1.0307,0.78,8.1,0.8,11.6,6.2
20020109,0,0.72,1.0357,0.85,8.2,-1.0,10.0,4.5
20020110,0,0.73,1.0351,0.83,8.2,-2.0,10.4,4.2
20020111,1,0.8,1.0335,0.83,7.6,-1.6,10.4,4.4
20020112,1,0.83,1.0312,0.85,8.0,-1.8,10.0,4.1
20020113,1,0.84,1.028,0.83,7.8,-1.2,10.0,4.4
20020114,4,0.85,1.0226,0.4,1.4,0.0,7.0,3.5
20020115,2,0.81,1.0182,0.79,6.2,-1.4,7.4,3.0
20020116,4,0.93,1.0169,0.3,3.0,-1.0,5.0,2.0
20020117,0,0.82,1.0181,0.91,8.3,-3.4,7.0,1.8
20020118,1,0.8,1.0205,0.91,8.3,-1.6,7.0,2.7
20020119,0,0.8,1.0239,0.93,8.2,-2.8,9.4,3.3
20020120,4,0.89,1.0264,0.53,3.6,2.8,11.6,7.2
20020121,3,0.91,1.0261,0.62,4.3,1.8,13.8,7.8
20020122,5,0.92,1.0223,0.2,0.8,3.2,12.6,7.9
20020123,3,0.88,1.0203,0.52,4.4,3.0,13.4,8.2
20020124,7,0.95,1.0123,0.22,0.6,9.6,13.2,11.4
20020125,3,0.9,1.015,1.01,8.5,7.0,14.6,10.8
20020126,5,0.91,1.0263,0.53,2.0,3.8,13.4,8.6
20020127,6,0.91,1.0258,0.39,0.8,5.8,13.4,9.6
20020128,5,0.88,1.0261,0.91,6.7,6.6,15.8,11.2
20020129,4,0.93,1.0307,0.93,6.2,4.8,16.0,10.4
20020130,8,0.88,1.0314,0.23,0.0,9.8,13.0,11.4
20020131,8,0.85,1.0282,0.22,0.0,10.6,13.2,11.9
20020201,6,0.95,1.026,0.15,0.0,7.6,13.6,10.6
20020202,3,0.9,1.0316,0.96,6.5,5.4,15.0,10.2
20020203,0,0.77,1.0314,1.1,8.2,3.6,16.8,10.2
20020204,1,0.79,1.0269,1.09,8.6,3.4,15.4,9.4
20020205,2,0.87,1.0242,1.07,7.8,2.6,14.2,8.4
20020206,7,0.94,1.0108,0.21,0.0,9.0,12.2,10.6
20020207,4,0.8,1.0132,1.11,7.8,6.4,15.4,10.9
20020208,4,0.81,1.0228,1.09,6.5,5.0,16.4,10.7
20020209,2,0.86,1.0221,1.19,8.2,4.0,15.0,9.5
20020210,5,0.92,1.0157,0.66,3.3,5.8,15.4,10.6
20020211,2,0.82,1.0194,1.28,8.9,4.2,16.2,10.2
20020212,3,0.87,1.0231,1.25,8.6,3.4,15.2,9.3
20020213,6,0.89,1.0208,0.31,0.0,4.8,13.0,8.9
20020214,6,0.89,1.0156,0.58,1.8,9.8,14.8,12.3
20020215,6,0.82,1.015,0.88,4.0,8.8,16.8,12.8
20020216,6,0.91,1.0209,0.98,6.3,8.0,15.8,11.9
20020217,5,0.87,1.0188,1.07,6.3,7.8,17.6,12.7
20020218,6,0.94,1.0167,0.07,0.0,6.4,14.2,10.3
20020219,3,0.86,1.021,1.15,6.6,4.4,13.4,8.9
20020220,4,0.88,1.0181,1.15,8.4,2.4,13.6,8.0
20020221,8,0.9,1.0023,0.33,0.7,7.6,13.0,10.3
20020222,3,0.75,1.0091,1.43,8.7,0.6,15.0,7.8
20020223,3,0.89,1.0115,0.88,4.2,3.0,13.4,8.2
20020224,3,0.74,1.0082,1.28,8.8,3.4,15.6,9.5
20020225,4,0.72,1.0167,1.22,6.4,2.0,14.4,8.2
20020226,6,0.92,1.0188,0.43,1.5,6.8,13.0,9.9
20020227,3,0.87,1.0158,1.23,7.8,9.0,16.4,12.7
20020228,4,0.78,1.0131,1.32,5.9,8.4,17.0,12.7
20020301,4,0.7,1.0132,1.1,4.8,5.6,18.0,11.8
20020302,5,0.59,1.0105,1.28,5.5,7.2,20.4,13.8
20020303,6,0.85,1.0127,0.66,0.2,7.0,16.0,11.5
